zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
94623,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.8,-122.29,NA,US,0,420,
94624,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.74,-122.17,NA,US,0,0,
94625,UNIQUE,Oakland,,Naval Supply Center,CA,Alameda County,America/Los_Angeles,510,37.8,-122.31,NA,US,1,0,Converted Decommisioned Zipcodes
94649,UNIQUE,Oakland,,Ebmud,CA,Alameda County,America/Los_Angeles,510,37.8,-122.26,NA,US,0,0,
94659,UNIQUE,Oakland,,Blue Cross,CA,Alameda County,America/Los_Angeles,510,37.81,-122.26,NA,US,0,0,
94660,UNIQUE,Oakland,,Safeway Stores,CA,Alameda County,America/Los_Angeles,510,37.79,-122.27,NA,US,0,0,
94661,PO BOX,Oakland,,,CA,Alameda County,America/Los_Angeles,510,37.82,-122.2,NA,US,0,0,
94662,PO BOX,Emeryville,Oakland,,CA,Alameda County,America/Los_Angeles,510,37.84,-122.29,NA,US,0,557,
94666,UNIQUE,Oakland,,Kaiser Services,CA,Alameda County,America/Los_Angeles,510,37.8,-122.26,NA,US,0,0,
94701,PO BOX,Berkeley,,,CA,Alameda County,America/Los_Angeles,510,37.86,-122.27,NA,US,0,359,
94702,STANDARD,Berkeley,,,CA,Alameda County,America/Los_Angeles,510,37.86,-122.28,NA,US,0,12254,
94703,STANDARD,Berkeley,,,CA,Alameda County,America/Los_Angeles,"510,415",37.86,-122.27,NA,US,0,13904,
94704,STANDARD,Berkeley,,,CA,Alameda County,America/Los_Angeles,"510,415",37.86,-122.25,NA,US,0,6826,
94705,STANDARD,Berkeley,,,CA,Alameda County,America/Los_Angeles,510,37.86,-122.24,NA,US,0,10879,
94706,STANDARD,Albany,"Berkeley, Kensington",,CA,Alameda County,America/Los_Angeles,510,37.88,-122.29,NA,US,0,15637,
94707,STANDARD,Berkeley,"Albany, Kensington",,CA,Alameda County,America/Los_Angeles,510,37.9,-122.28,NA,US,0,11820,
94708,STANDARD,Berkeley,Kensington,,CA,Alameda County,America/Los_Angeles,"831,510",37.9,-122.26,NA,US,0,10062,
94709,STANDARD,Berkeley,,,CA,Alameda County,America/Los_Angeles,510,37.87,-122.26,NA,US,0,6899,
94710,STANDARD,Berkeley,Albany,,CA,Alameda County,America/Los_Angeles,"510,650,408,925",37.87,-122.3,NA,US,0,5142,
94712,PO BOX,Berkeley,,,CA,Alameda County,America/Los_Angeles,510,37.86,-122.26,NA,US,0,0,
94720,UNIQUE,Berkeley,Uc Berkeley,U C Berkeley,CA,Alameda County,America/Los_Angeles,510,37.86,-122.25,NA,US,0,536,
94801,STANDARD,Richmond,"N Richmond, North Richmond, Point Richmond, Pt Richmond",,CA,Contra Costa County,America/Los_Angeles,510,37.96,-122.38,NA,US,0,18180,
94802,PO BOX,Richmond,,,CA,Contra Costa County,America/Los_Angeles,510,37.93,-122.35,NA,US,0,573,
94803,STANDARD,El Sobrante,"Richmond, San Pablo",,CA,Contra Costa County,America/Los_Angeles,510,37.95,-122.26,NA,US,0,20102,
94804,STANDARD,Richmond,,,CA,Contra Costa County,America/Los_Angeles,"415,510",37.92,-122.34,NA,US,0,26686,
94805,STANDARD,Richmond,,San Pablo,CA,Contra Costa County,America/Los_Angeles,510,37.94,-122.31,NA,US,0,10551,
94806,STANDARD,San Pablo,"Hilltop Mall, Richmond",Tara Hills,CA,Contra Costa County,America/Los_Angeles,"510,310",37.98,-122.33,NA,US,0,43290,
94807,PO BOX,Richmond,,,CA,Contra Costa County,America/Los_Angeles,510,37.92,-122.35,NA,US,0,0,
94808,PO BOX,Richmond,,,CA,Contra Costa County,America/Los_Angeles,510,37.93,-122.34,NA,US,0,0,
94820,PO BOX,El Sobrante,Richmond,,CA,Contra Costa County,America/Los_Angeles,510,37.97,-122.29,NA,US,0,661,
94850,STANDARD,Richmond,,,CA,Contra Costa County,America/Los_Angeles,510,37.94,-122.38,NA,US,0,0,
94901,STANDARD,San Rafael,San Anselmo,,CA,Marin County,America/Los_Angeles,415,37.97,-122.5,NA,US,0,33561,
94903,STANDARD,San Rafael,,"Marinwood, Santa Venetia, Terra Linda",CA,Marin County,America/Los_Angeles,415,38.02,-122.54,NA,US,0,23974,
94904,STANDARD,Greenbrae,Kentfield,"Kent Woodlands, San Rafael",CA,Marin County,America/Los_Angeles,415,37.94,-122.56,NA,US,0,10158,
94912,PO BOX,San Rafael,,,CA,Marin County,America/Los_Angeles,415,37.97,-122.5,NA,US,0,1403,
94913,PO BOX,San Rafael,,,CA,Marin County,America/Los_Angeles,415,38.02,-122.54,NA,US,0,0,
94914,PO BOX,Kentfield,,"Greenbrae, San Rafael",CA,Marin County,America/Los_Angeles,415,37.94,-122.53,NA,US,0,0,
94915,PO BOX,San Rafael,,Mission Rafael,CA,Marin County,America/Los_Angeles,415,37.95,-122.5,NA,US,0,710,
94920,STANDARD,Belvedere Tiburon,"Bel Tiburon, Belvedere, Tiburon",,CA,Marin County,America/Los_Angeles,415,37.89,-122.47,NA,US,0,10900,
94922,STANDARD,Bodega,,,CA,Sonoma County,America/Los_Angeles,707,38.33,-122.97,NA,US,0,0,
94923,STANDARD,Bodega Bay,,Salmon Creek,CA,Sonoma County,America/Los_Angeles,707,38.35,-123.06,NA,US,0,1169,
94924,STANDARD,Bolinas,,,CA,Marin County,America/Los_Angeles,415,37.94,-122.73,NA,US,0,1151,
94925,STANDARD,Corte Madera,,,CA,Marin County,America/Los_Angeles,"415,510,925",37.92,-122.51,NA,US,0,8134,
94926,UNIQUE,Rohnert Park,Cotati,State Farm Insurance,CA,Sonoma County,America/Los_Angeles,707,38.32,-122.7,NA,US,0,0,
94927,PO BOX,Rohnert Park,Cotati,,CA,Sonoma County,America/Los_Angeles,707,38.34,-122.69,NA,US,0,678,
94928,STANDARD,Rohnert Park,Cotati,,CA,Sonoma County,America/Los_Angeles,707,38.34,-122.7,NA,US,0,30371,
94929,PO BOX,Dillon Beach,,,CA,Marin County,America/Los_Angeles,"707,415",38.24,-122.95,NA,US,0,0,
94930,STANDARD,Fairfax,,,CA,Marin County,America/Los_Angeles,415,37.98,-122.6,NA,US,0,6948,
94931,STANDARD,Cotati,,,CA,Sonoma County,America/Los_Angeles,707,38.31,-122.7,NA,US,0,7260,
94933,PO BOX,Forest Knolls,,,CA,Marin County,America/Los_Angeles,415,38.01,-122.69,NA,US,0,771,
94937,STANDARD,Inverness,,,CA,Marin County,America/Los_Angeles,415,38.11,-122.92,NA,US,0,867,
94938,PO BOX,Lagunitas,,,CA,Marin County,America/Los_Angeles,415,38.03,-122.7,NA,US,0,479,
94939,STANDARD,Larkspur,,,CA,Marin County,America/Los_Angeles,"415,925",37.93,-122.53,NA,US,0,5652,
94940,STANDARD,Marshall,,,CA,Marin County,America/Los_Angeles,415,38.16,-122.84,NA,US,0,0,
94941,STANDARD,Mill Valley,,"Muir Woods, Strawberry Point, Tamalpais Valley",CA,Marin County,America/Los_Angeles,"415,510",37.89,-122.56,NA,US,0,25742,
94942,PO BOX,Mill Valley,,,CA,Marin County,America/Los_Angeles,415,37.9,-122.52,NA,US,0,977,
94945,STANDARD,Novato,,"Black Point, San Marin",CA,Marin County,America/Los_Angeles,415,38.13,-122.56,NA,US,0,14293,
94946,STANDARD,Nicasio,,,CA,Marin County,America/Los_Angeles,415,38.07,-122.68,NA,US,0,551,
94947,STANDARD,Novato,,,CA,Marin County,America/Los_Angeles,"415,707,408",38.1,-122.63,NA,US,0,19940,
94948,PO BOX,Novato,,,CA,Marin County,America/Los_Angeles,415,38.13,-122.56,NA,US,0,1474,
94949,STANDARD,Novato,,"Bel Marin Keyes, Ignacio",CA,Marin County,America/Los_Angeles,"415,650",38.06,-122.54,NA,US,0,14246,
94950,PO BOX,Olema,,,CA,Marin County,America/Los_Angeles,415,38.02,-122.75,NA,US,0,0,
94951,STANDARD,Penngrove,,,CA,Sonoma County,America/Los_Angeles,707,38.31,-122.64,NA,US,0,3579,
94952,STANDARD,Petaluma,,"Bloomfield, Fallon, Lakeville, Two Rock Ranch Sta",CA,Sonoma County,America/Los_Angeles,"707,415",38.21,-122.76,NA,US,0,25794,
94953,PO BOX,Petaluma,,,CA,Sonoma County,America/Los_Angeles,707,38.26,-122.63,NA,US,0,788,
94954,STANDARD,Petaluma,,,CA,Sonoma County,America/Los_Angeles,707,38.23,-122.56,NA,US,0,31071,
94955,PO BOX,Petaluma,,,CA,Sonoma County,America/Los_Angeles,707,38.22,-122.55,NA,US,0,564,
94956,STANDARD,Point Reyes Station,Pt Reyes Sta,,CA,Marin County,America/Los_Angeles,415,38.07,-122.86,NA,US,0,1406,
94957,PO BOX,Ross,,,CA,Marin County,America/Los_Angeles,415,37.96,-122.55,NA,US,0,2219,
