11755,Strawberry Point Elementary School,K-5,public,94941
5524,Saratoga High School,9-12,public,95070
14597,Oakland Community Day Middle School,6-8,public,94619
15852,The Cameron Academy,K-12,private,94520
7058,Old Adobe Elementary Charter School,K-6,charter,94954
31560,Creekside 21st Century Learning Lab,4-5,private,94028
5420,Rosemary Elementary School,K-4,charter,95008
208,Fruitvale Elementary School,K-5,public,94602
5478,Norwood Creek Elementary School,K-6,public,95148
5464,Santa Teresa High School,9-12,public,95123
3510,Alta Heights Elementary School,K-5,public,94559
7064,Mcnear Elementary School,K-6,public,94952
14398,Horizons School,8-10,public,94558
457,Los Perales Elementary School,K-5,public,94556
5583,Baldwin (Julia) Elementary School,K-6,public,95119
7099,Sonoma Charter School,K-8,charter,95476
17380,Plantation Christian,1-12,private,95035
13988,Alameda County Community,K-12,public,94544
13179,Dominican Kindergarten,K,private,94539
8885,Sterne School,5-12,private,94115
31564,Seaport Academy,K-12,private,94063
13980,George Kelly Elementary School,K-8,public,95377
13066,Pentecostal Way Of Truth School Academy,K-12,private,94607
8778,Hilldale School,K-8,private,94014
8225,Bishop O Dowd High School,9-12,private,94605
8614,St. John's Lutheran Elementary School,K-8,private,94558
15123,Elim Christian School,K-12,private,94801
17749,Spectrum Center Inc - San Jose,K-12,private,95123
6584,Westwood Elementary School,K-6,public,95210
31596,Wilderness Skills Institute,K-12,private,95066
143,Arroyo Seco Elementary School,K-5,public,94550
5446,Murdock-Portal Elementary School,K-5,public,95129
6367,Francisco Middle School,6-8,public,94133
12088,Nelda Mundy Elementary School,K-6,public,94534
24820,Aspire California College Preparatory Academy,9-12,charter,94703
8798,Liberty Baptist School,PK-12,private,95122
15869,Spectrum Center-Pleasant Hill Satellite Camp,6-8,private,94523
7066,Valley Vista Elementary School,K-6,public,94952
16585,The Bay School Of San Francisco,9-12,private,94129
3434,Anthony G. Bacich Elementary School,K-4,public,94904
7145,Analy High School,9-12,public,95472
6400,Marina Middle School,6-8,public,94123
5701,Cherry Chase Elementary School,K-5,public,94087
515,O'hara Park Middle School,6-8,public,94561
6894,La Honda Elementary School,K-5,public,94020
172,Searles Elementary School,K-5,public,94587
6426,Rooftop Elementary School,PK-8,public,94131
8684,Katherine Delmar Burke School,K-8,private,94121
5745,Mar Vista Elementary School,K-6,public,95003
27287,AltSchool - SOMA,6-9,private,94105
9667,East Valley Christian School,K-11,private,95148
7073,Casa Grande High School,9-12,public,94954
10303,East Bay Waldorf School,K-8,private,94803
6970,North Shoreview Montessori Elementary School,K-8,public,94401
160,Mountain House Elementary School,K-8,public,94514
511,Ygnacio Valley High School,9-12,public,94518
10294,Calvary Christian Academy,PK-12,private,94558
582,Hanna Ranch Elementary School,K-5,public,94547
25836,Berkeley Rose School,K-3,private,94709
25308,Kimberly Hardin Art Foundation & School,PK-12,private,95003
5397,Noble Elementary School,K-5,public,95132
26315,The Wilkinson School,K-8,private,94018
8,Henry Haight Elementary School,K-5,public,94501
25495,Alta Vista School,K-5,private,94134
12573,Mandela High School,9-12,public,94601
16744,Clarus Academy,1-12,private,95407
6759,Steffan Manor Elementary School,K-5,public,94591
506,Walnut Acres Elementary School,K-5,public,94598
8111,St. Brendan Elementary School,K-8,private,94127
24131,A Better Chance School/Cal Autism Foundation,4-12,private,94806
5637,Montague Elementary School,K-5,public,95054
9091,St. Leo the Great School,PK-8,private,95126
534,Neil A. Armstrong Elementary School,K-5,public,94583
6944,Arundel Elementary School,K-4,charter,94070
8937,Carden Academy of Almaden,K-8,private,95118
23787,Williams Academy,9-12,private,94610
26288,Coming Of Age Christian Academy,K-12,private,94124
9453,Mount Madonna School,PK-12,private,95076
5584,Bernal Intermediate School,7-8,public,95119
7065,Penngrove Elementary School,K-6,charter,94951
11503,St. John Of San Francisco Orthodox Acade,K-12,private,94121
7102,Brook Hill Elementary School,K-6,public,95404
6363,Everett Middle School,6-8,public,94114
10610,San Jose Christian School,PK-8,private,95008
30835,Lammersville Elementary,K-8,public,95304
429,Edna Hill Middle School,6-8,public,94513
4931,Calaveras Elementary School,K-8,public,95023
5767,Costanoa Continuation High School,9-12,public,95062
24289,Hidden Canyon Elementary School,K,private,94583
