#ZIP,Latitude,Longitude,City,County,Estimated_Population
95011,37.29,-121.95,Campbell,Santa Clara County,1102
95013,37.2,-121.72,Coyote,Santa Clara County,0
95014,37.3,-122.09,Cupertino,Santa Clara County,51349
95015,37.32,-122.05,Cupertino,Santa Clara County,1709
95017,37.09,-122.24,Davenport,Santa Cruz County,718
95018,37.08,-122.05,Felton,Santa Cruz County,6114
95019,36.93,-121.78,Freedom,Santa Cruz County,7068
95020,37.06,-121.55,Gilroy,Santa Clara County,41952
95021,37.01,-121.55,Gilroy,Santa Clara County,2725
95023,36.89,-121.24,Hollister,San Benito County,35971
95024,36.84,-121.39,Hollister,San Benito County,2447
95026,37.15,-121.98,Holy City,Santa Clara County,0
95030,37.22,-121.99,Los Gatos,Santa Clara County,11508
95031,37.12,-121.93,Los Gatos,Santa Clara County,1445
95032,37.23,-121.95,Los Gatos,Santa Clara County,21990
95033,37.13,-121.94,Los Gatos,Santa Clara County,7196
95035,37.44,-121.87,Milpitas,Santa Clara County,54420
95036,37.24,-121.97,Milpitas,Santa Clara County,1343
95037,37.17,-121.65,Morgan Hill,Santa Clara County,35452
95038,37.08,-121.61,Morgan Hill,Santa Clara County,1884
95041,37.05,-122.05,Mount Hermon,Santa Cruz County,575
95042,37.17,-121.82,New Almaden,Santa Clara County,0
95043,36.53,-120.96,Paicines,San Benito County,494
95044,37.15,-121.98,Redwood Estates,Santa Clara County,0
95045,36.83,-121.51,San Juan Bautista,San Benito County,3345
95046,37.1,-121.6,San Martin,Santa Clara County,5514
95050,37.34,-121.95,Santa Clara,Santa Clara County,26714
95051,37.35,-121.98,Santa Clara,Santa Clara County,45397
95052,37.35,-121.95,Santa Clara,Santa Clara County,580
95053,37.34,-121.93,Santa Clara,Santa Clara County,0
95054,37.39,-121.96,Santa Clara,Santa Clara County,20797
95055,37.33,-121.98,Santa Clara,Santa Clara County,1075
95056,37.4,-121.96,Santa Clara,Santa Clara County,795
95060,37.04,-122.1,Santa Cruz,Santa Cruz County,29968
95061,36.97,-122.02,Santa Cruz,Santa Cruz County,1461
95062,36.97,-121.98,Santa Cruz,Santa Cruz County,26530
95063,36.97,-122,Santa Cruz,Santa Cruz County,1484
95064,36.98,-122.06,Santa Cruz,Santa Cruz County,890
95065,37.03,-121.98,Santa Cruz,Santa Cruz County,6525
95066,37.06,-122.01,Scotts Valley,Santa Cruz County,11926
95067,36.97,-122.03,Scotts Valley,Santa Cruz County,855
95070,37.25,-122.06,Saratoga,Santa Clara County,29525
95071,37.25,-122.03,Saratoga,Santa Clara County,0
95073,37.02,-121.94,Soquel,Santa Cruz County,9169
95075,36.77,-121.29,Tres Pinos,San Benito County,603
95076,36.95,-121.72,Watsonville,Santa Cruz County,63437
95077,36.91,-121.75,Watsonville,Santa Cruz County,3861
95101,37.38,-121.89,San Jose,Santa Clara County,0
95103,37.33,-121.89,San Jose,Santa Clara County,0
95106,37.33,-121.89,San Jose,Santa Clara County,0
95108,37.33,-122.08,San Jose,Santa Clara County,0
