ZIP, City, County, State, Year_1996, Year_1997, Year_1998, Year_1999, Year_2000, Year_2001, Year_2002, Year_2003, Year_2004, Year_2005, Year_2006, Year_2007, Year_2008, Year_2009, Year_2010, Year_2011, Year_2012, Year_2013, Year_2014, Year_2015
94590, Vallejo, Solano, CA, 106556.52, 96558.33, 106705.76, 118137.50, 149395.83, 182762.50, 224937.50, 250754.17, 311225.00, 366822.92, 391177.08, 369141.09, NA, 136836.76, 135598.85, 110461.94, 112568.28, 145431.88, 200783.55, 209150.00
94591, Vallejo, Solano, CA, 143333.33, 142750.00, 172270.83, 190706.25, 240429.17, 274114.58, 313072.00, 357718.75, 403406.25, 492104.17, 506416.67, 481263.64, 333342.76, 1491783.85, 223167.33, 205605.67, 204204.17, 255279.17, 282202.08, 335015.00
95337, Manteca, San Joaquin, CA, 139269.44, 143881.15, 139779.77, 152077.08, 202752.83, 266731.25, 277545.83, 303784.08, 350404.17, 456441.67, 457955.67, 384452.00, 260000.00, 231886.03, 209321.41, 218472.92, 217869.81, 278856.25, 315145.83, 320650.00
94598, Walnut Creek, Contra Costa, CA, 288277.78, 300416.67, 321500.00, 361270.83, 416987.50, 477262.50, 516625.00, 563541.67, 608500.00, 761083.33, 743113.64, 699443.18, 684739.58, 620385.59, 589224.95, 541866.67, 594387.70, 705868.18, 727458.33, 788345.00
94503, American Canyon, Napa, CA, 158000.00, NA, 147471.15, 159674.59, 217351.61, 315195.83, 361364.58, 458568.75, 556720.83, 610943.75, 639129.94, 578726.78, 498696.55, 377767.95, 337234.97, 310434.37, 297710.50, 385980.39, 394440.05, 427000.00
94520, Concord, Contra Costa, CA, 118897.22, 116737.19, 126181.25, 142093.75, 169604.17, 197175.00, 230887.50, 302454.58, 309066.67, 407766.67, 446033.33, 404075.00, 263000.00, 198699.19, 192958.33, 171970.83, 161479.90, 255086.92, 324447.74, 343826.67
94710, Berkeley, Alameda, CA, NA, NA, NA, NA, NA, NA, NA, 375000.00, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
94619, Oakland, Alameda, CA, 149860.78, 151050.99, 166762.50, 188641.67, 234879.17, 290145.83, 339720.83, 355204.17, 455179.17, 507803.75, 556666.67, 550624.15, 561250.00, 429333.33, 388014.81, 368205.88, 365693.94, 430873.25, 523911.76, 535470.59
94931, Cotati, Sonoma, CA, 158500.00, 182966.18, 184497.33, 184966.67, 223589.89, 267389.18, 284967.35, 325310.65, 418195.24, 512570.00, 482747.76, 521960.78, NA, 342000.00, NA, 236500.00, 288000.00, NA, NA, NA
95070, Saratoga, Santa Clara, CA, 573500.00, 599062.50, 681770.83, 826583.33, 1099050.00, 1043437.41, 986666.67, 977266.67, 998150.00, 1192895.83, 1233977.27, 1352727.27, 1202977.63, 1352644.12, 1433028.45, 1409737.50, 1450300.00, 1632335.42, 1868281.57, 2036850.00
