ZIP, avg_precipitation, N_avg_precipitation, renter_occupied, N_renter_occupied, earthquake_index, N_earthquake_index, pop_growth_rate, N_pop_growth_rate, avg_temperature, N_avg_temperature, poverty_Rate, N_poverty_Rate, parks, N_parks, crime_index, N_crime_index, female_labor, N_female_labor, coffeeshops, N_coffeeshops, restaurants, N_restaurants
94023, NA, NA, 0.14, 85.50, 17.52, 84.35, 0.05, 95.95, NA, NA, NA, NA, 37.00, 92.50, 464.00, 92.35, 0.49, 48.80, 1.00, 2.50, 40.00, 100.00
94020, 40.52, 62.67, 0.14, 85.70, 19.25, 82.53, -0.23, 98.06, 55.34, 18.80, 1.20, 97.62, 1.00, 2.50, 0.00, 100.00, 0.72, 72.00, 0.00, 0.00, 0.00, 0.00
94021, 41.77, 65.50, 0.07, 93.50, 11.62, 90.53, 0.85, 89.84, 55.34, 18.80, 0.00, 100.00, 1.00, 2.50, 0.00, 100.00, 0.50, 50.00, 0.00, 0.00, 0.00, 0.00
94026, NA, NA, 0.42, 58.40, 20.46, 81.26, 0.04, 96.00, NA, NA, NA, NA, 40.00, 100.00, 1040.00, 82.86, 0.61, 61.00, 2.00, 5.00, 40.00, 100.00
94027, 24.96, 27.40, 0.08, 91.80, 25.46, 76.02, -0.04, 96.60, 59.45, 63.58, 4.60, 90.87, 18.00, 45.00, 1019.00, 83.20, 0.36, 35.90, 2.00, 5.00, 40.00, 100.00
94024, 39.28, 59.85, 0.14, 85.50, 17.52, 84.35, 0.05, 95.95, NA, NA, 2.00, 96.03, 2.00, 5.00, 464.00, 92.35, 0.49, 48.80, 0.00, 0.00, 1.00, 2.50
94025, 29.61, 37.93, NA, NA, NA, NA, NA, NA, 59.54, 64.58, 6.00, 88.10, 40.00, 100.00, NA, NA, NA, NA, 2.00, 5.00, 40.00, 100.00
94596, NA, NA, 0.30, 69.50, 48.28, 52.10, -0.00, 96.32, NA, NA, 6.50, 87.10, 3.00, 7.50, 1433.00, 76.38, 0.54, 54.10, 0.00, 0.00, 1.00, 2.50
94597, NA, NA, 0.30, 69.50, 48.28, 52.10, -0.00, 96.32, NA, NA, 7.80, 84.52, 6.00, 15.00, 1433.00, 76.38, 0.54, 54.10, 0.00, 0.00, 7.00, 17.50
94595, NA, NA, 0.30, 69.50, 48.28, 52.10, -0.00, 96.32, NA, NA, 4.50, 91.07, 7.00, 17.50, 1433.00, 76.38, 0.54, 54.10, 0.00, 0.00, 1.00, 2.50
94592, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 4.70, 90.67, 5.00, 12.50, NA, NA, NA, NA, 0.00, 0.00, 4.00, 10.00
