"","zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes","STATEFIPS","STATE","AGI_STUB","N1","MARS1","MARS2","MARS4","PREP","N2","NUMDEP","A00100","N00200","A00200","N00300","A00300","N00600","A00600","N00650","A00650","N00900","A00900","SCHF","N01000","A01000","N01400","A01400","N01700","A01700","N02300","A02300","N02500","A02500","N03300","A03300","N00101","A00101","N04470","A04470","N18425","A18425","N18450","A18450","N18500","A18500","N18300","A18300","N19300","A19300","N19700","A19700","N04800","A04800","N07100","A07100","N07220","A07220","N07180","A07180","N07260","A07260","N59660","A59660","N59720","A59720","N11070","A11070","N09600","A09600","N06500","A06500","N10300","A10300","N11901","A11901","N11902","A11902"
"1673",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",4,2100,370,1490,220,1360,6230,2640,181426,1970,153946,1110,342,310,705,280,532,260,2650,0,260,351,200,3057,460,12836,320,2320,280,4699,0,0,1450,125908,1450,30480,1330,5552,100,227,1280,3212,1450,9547,1230,13480,1200,2628,2100,119983,1090,2011,880,1556,130,80,40,46,0,0,0,0,30,50,0,0,2060,15765,2070,16452,530,1317,1550,5313
"1674",95376,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","209,510",37.73,-121.42,NA,"US",0,38068,"",6,"CA",3,3420,930,1890,540,2270,9450,4140,211068,3140,178261,1370,538,340,626,300,405,410,3818,30,290,1,250,2851,660,15622,540,3567,450,5762,0,0,1660,104043,1660,31513,1400,3736,250,374,1440,3450,1660,8438,1390,13950,1370,2383,3400,126461,1700,2827,1410,2314,180,98,40,32,0,0,0,0,290,385,0,0,3110,14817,3160,15710,760,1728,2630,7792
"1675",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",2,2100,840,790,440,1350,5200,2310,77325,1820,61863,540,233,140,148,120,91,410,5893,0,120,28,100,1132,270,4379,340,2817,200,1260,0,0,630,24321,630,11651,320,515,280,293,550,2037,630,3066,520,5544,470,876,1940,34416,970,877,660,600,100,56,0,0,570,1051,430,759,550,919,0,0,1450,3364,1660,4309,390,748,1690,4692
"1676",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",3,1760,430,970,320,1170,5140,2410,109959,1610,91117,810,342,200,266,190,190,310,4153,20,170,-76,110,1585,330,6629,290,2468,220,3088,0,0,1040,65944,1040,22142,840,2356,190,281,940,3567,1040,6592,900,10393,870,1715,1740,61497,1000,1706,850,1372,100,52,50,68,0,0,0,0,190,251,20,29,1550,6772,1610,7568,420,1200,1330,4335
"1677",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",4,1500,230,1100,150,960,4900,2290,130941,1430,114887,810,262,230,274,200,190,240,3146,0,210,-42,110,1782,250,5716,240,1785,150,2509,0,0,1140,99946,1140,26861,1040,4280,90,227,990,3999,1140,8943,980,12127,970,2089,1500,81573,930,1836,820,1468,110,64,0,0,0,0,0,0,40,61,0,0,1460,10137,1480,10804,350,1189,1140,4387
"1678",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",6,390,0,370,0,260,1350,590,109549,380,86037,320,445,160,875,150,776,80,3767,0,180,3108,30,1713,80,4535,40,231,20,563,0,0,390,107962,390,19731,380,7222,0,0,360,1826,390,9347,350,6691,350,1862,390,84616,90,95,0,0,30,18,0,0,0,0,0,0,0,0,260,1335,390,20152,390,20521,210,2730,170,868
"1679",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",5,2660,210,2300,160,1670,9180,4230,359735,2580,320501,1740,459,580,947,520,704,390,4292,0,560,2364,180,3936,510,15867,320,2380,200,3655,40,563,2350,321472,2350,72006,2260,16965,80,289,2110,8717,2350,27780,2080,31228,2090,6602,2650,249460,1390,2295,960,1417,270,158,70,134,0,0,0,0,0,0,130,261,2640,40798,2650,41989,840,3691,1800,7829
"1680",95377,"STANDARD","Tracy","","","CA","San Joaquin County","America/Los_Angeles","510,209",37.62,-121.45,NA,"US",0,23164,"",6,"CA",1,3700,2580,600,460,2190,5220,1790,44066,2960,34312,540,356,160,152,150,98,580,5068,0,150,-75,100,659,300,3001,390,2748,90,161,0,0,340,5294,340,5888,100,177,190,127,270,1068,330,1472,260,3079,200,308,1640,9009,430,155,120,39,0,0,0,0,1090,2729,960,2296,710,907,0,0,1340,797,1810,1564,410,333,3070,5576
"1681",95391,"STANDARD","Tracy","Mountain House, Mtn House","","CA","San Joaquin County","America/Los_Angeles","209",37.76,-121.63,NA,"US",0,7031,"",6,"CA",2,670,290,210,150,360,1540,660,25336,590,20960,170,75,40,117,40,79,140,2080,0,50,54,20,336,60,992,110,824,70,356,0,0,200,7998,200,4111,130,239,60,71,160,824,200,1203,150,1670,140,293,620,11897,300,307,210,211,50,26,0,0,180,317,140,242,170,253,0,0,470,1170,540,1528,120,320,550,1609
"1682",95391,"STANDARD","Tracy","Mountain House, Mtn House","","CA","San Joaquin County","America/Los_Angeles","209",37.76,-121.63,NA,"US",0,7031,"",6,"CA",1,930,650,150,110,460,1350,430,11275,720,9115,140,56,60,81,50,43,170,1189,0,70,-60,30,202,90,777,100,732,0,0,0,0,80,1310,80,1582,30,66,50,37,70,320,80,447,60,621,40,62,420,2440,120,54,20,9,0,0,0,0,290,658,250,518,170,224,0,0,330,207,470,418,100,71,750,1379
